ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
ASM.AS,2026-04-20,1.5,0.999,1.0,0.7766,0.6667,0.1553,35.2163,-0.7248,0.6721,0.4239,,,,0.2544,0.7878,0.1073,,,,False,False,0.1475,0.0,1.0,0.0,0.4527,1.0,0.6154,0.4055,0.2217
GEV,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.6508,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.1968,0.0,0.5626,0.0,0.581,1.0,0.9279,0.3535,0.3422
AES,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.6522,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.5707,0.0,0.0,0.0,0.2938,1.0,0.3077,0.0,0.8538
HAG.DE,2026-04-20,2.0,0.999,1.0,1.0,0.6667,1.6415,81.7362,-0.2042,0.5853,0.4239,,,,0.4143,0.7878,0.1553,,,,False,False,0.1687,0.0,0.2165,0.0,0.1182,1.0,0.1779,0.0,0.2352
TDY,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.7212,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.2812,0.0,0.6333,0.0,0.2518,1.0,0.4231,0.1186,0.1755
SBS,2026-04-20,1.5,0.999,1.0,0.1773,0.75,0.1096,4.5871,-3.5379,0.4337,0.4239,,,,0.1003,0.8072,0.073,,,,False,True,-0.1371,0.0,0.7537,0.0,0.5164,1.0,0.649,0.4724,0.3392
SGML,2026-04-20,1.5,0.999,1.0,0.0,0.6,-0.2583,1.6443,8.9803,0.6463,0.4239,,,,0.0,0.7722,0.0429,,,,False,True,0.1119,0.0,1.0,0.0,0.4009,1.0,0.601,0.3187,0.1651
EXC,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.5605,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.1648,0.0,0.0484,0.0,0.226,1.0,0.1683,0.1653,0.463
PPL,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.519,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.1125,0.0,0.0204,0.0,0.3072,1.0,0.2067,0.2727,0.577
AME,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.7389,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.2831,0.0,0.7586,0.0,0.3383,1.0,0.4327,0.2681,0.2897
FTS.TO,2026-04-20,1.5,0.999,1.0,0.143,0.75,0.0286,17.8942,-0.4599,0.6522,0.4239,,,,0.0497,0.8072,0.0534,,,,False,True,0.3223,0.0,0.0,0.0,0.3008,1.0,0.274,0.2325,0.4909
